,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,deep_sky_back,0,1,gṛham,gṛha,,n. sg. acc.,5,5,,0,5,5
1,1,1,deep_sky_back,0,1,gṛham,gṛha,,n. sg. nom.,5,5,,0,5,5
2,2,1,deep_sky_back,6,2,sarvam,sarva,,m. sg. acc.,6,6,,0,6,12
3,3,1,deep_sky_back,6,2,sarvam,sarva,,n. sg. acc.,6,6,,0,6,12
4,4,1,deep_sky_back,6,2,sarvam,sarva,,n. sg. nom.,6,6,,0,6,12
5,5,1,mauve_back,12,2,api,api,,ind.,3,3,,6,9,15
6,6,1,mauve_back,16,3,ekadā,ekadā,,ind.,5,5,,0,5,21
7,7,1,deep_sky_back,22,4,raktam,rakta,,n. sg. acc.,6,6,{ pp. }[rañj,0,6,28
8,8,1,deep_sky_back,22,4,raktam,rakta,,n. sg. nom.,6,6,{ pp. }[rañj,0,6,28
9,9,1,deep_sky_back,22,4,raktam,rakta,,m. sg. acc.,6,6,{ pp. }[rañj,0,6,28
10,10,1,mauve_back,29,5,eva,eva,,ind.,3,3,,0,3,32
11,11,2,yellow_back,16,3,eka,eka,,iic.,3,3,,0,3,19
12,12,2,cyan_back,19,3,dā,da,,f. sg. nom.,2,2,,3,5,21
13,13,2,carmin_back,31,5,āsīt,ās,,inj. [5] ac. sg. 3,4,4, sence of lemma = 2,2,6,35
14,14,2,carmin_back,31,5,āsīt,ās,,aor. [5] ac. sg. 3,4,4, sence of lemma = 2,2,6,35
15,15,2,carmin_back,31,5,āsīt,as,,impft. [2] ac. sg. 3,4,4, sence of lemma = 1,2,6,35
