,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,deep_sky_back,0,1,viśvāmitraḥ,viśvāmitra,,m. sg. nom.,11,11,,0,11,11
1,1,1,carmin_back,12,2,rāma,rā,,imp. [2] ac. pl. 1,4,4, sence of lemma = 1,0,4,16
2,2,1,light_blue_back,17,3,ayam,idam,,m. sg. nom.,4,4,,0,4,21
3,3,1,deep_sky_back,22,4,siddhā,siddha,,f. sg. nom.,5,6,{ pp. }[sidh_1 sence of lemma = 1,0,5,27
4,4,1,deep_sky_back,22,4,siddhā,siddha,,f. sg. nom.,5,6,{ pp. }[sidh_2 sence of lemma = 2,0,5,27
5,5,1,deep_sky_back,27,4,śramaḥ,śrama,,m. sg. nom.,6,6,,5,11,33
6,6,2,yellow_back,0,1,viśva,viśva,,iic.,5,5,,0,5,5
7,7,2,deep_sky_back,5,1,mitraḥ,mitra,,m. sg. nom.,6,6,,5,11,11
8,8,2,lawngreen_back,12,2,rāma,rāma,,m. sg. voc.,4,4,,0,4,16
9,9,2,lawngreen_back,12,2,rāma,rāma,,n. sg. voc.,4,4,,0,4,16
10,10,2,yellow_back,22,4,siddha,siddha,,iic.,5,6,{ pp. }[sidh_1 sence of lemma = 1,0,5,27
11,11,2,yellow_back,22,4,siddha,siddha,,iic.,5,6,{ pp. }[sidh_2 sence of lemma = 2,0,5,27
12,12,2,carmin_back,27,4,śramaḥ,śram,,inj. [2] ac. sg. 2,6,6,,5,11,33
13,13,3,yellow_back,0,1,viśvā,viśvā,,iic.,5,5,,0,5,5
14,14,3,cyan_back,7,1,traḥ,tra,,m. sg. nom.,4,4,,7,11,11
15,15,3,deep_sky_back,26,4,āśramaḥ,āśrama,,m. sg. nom.,7,7,,4,11,33
16,16,4,light_blue_back,0,1,viśvā,viśva,,f. sg. nom.,5,5,,0,5,5
17,17,4,carmin_back,26,4,aśramaḥ,śram,,aor. [2] ac. sg. 2,7,7,,4,11,33
18,18,4,carmin_back,26,4,aśramaḥ,śram,,impft. [1] ac. sg. 2,7,7,,4,11,33
19,19,5,yellow_back,0,1,viś,viś,,iic.,3,3, sence of lemma = 2,0,3,3
20,20,5,yellow_back,3,1,vāmi,vāmin,,iic.,4,4,,3,7,7
21,21,5,yellow_back,3,1,vāmi,vāma,,iic.,4,4, sence of lemma = 2,3,7,7
22,22,5,yellow_back,26,4,a,a,,iic.,1,1,,4,5,27
23,23,6,deep_sky_back,4,1,amitraḥ,amitra,,m. sg. nom.,7,7,,4,11,11
24,24,7,deep_sky_back,4,1,āmitraḥ,āmitra,,m. sg. nom.,7,7,,4,11,11
25,25,8,yellow_back,4,1,a,a,,iic.,1,1,,4,5,5
