,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,yellow_back,0,1,kopa,kopa,,iic.,4,4,,0,4,4
1,1,1,light_blue_back,11,2,sā,tad,,f. sg. nom.,2,2,,0,2,13
2,2,1,carmin_back,14,3,dhāvanti,dhāv,,pr. [1] ac. pl. 3,7,8, sence of lemma = 1,0,7,21
3,3,1,carmin_back,14,3,dhāvanti,dhāv,,pr. [1] ac. pl. 3,7,8, sence of lemma = 2,0,7,21
4,4,1,yellow_back,22,4,rāma,rāma,,iic.,4,4,,0,4,26
5,5,1,yellow_back,26,4,lakṣmaṇa,lakṣmaṇa,,iic.,8,8,,4,12,34
6,6,1,deep_sky_back,36,4,mukham,mukha,,n. sg. acc.,5,6,,14,19,41
7,7,1,deep_sky_back,36,4,mukham,mukha,,n. sg. nom.,5,6,,14,19,41
8,8,1,carmin_back,42,5,ājagāma,ā-gam,,pft. ac. sg. 3,7,7,,0,7,49
9,9,1,carmin_back,42,5,ājagāma,ā-gam,,pft. ac. sg. 1,7,7,,0,7,49
10,10,2,light_blue_back,0,1,kā,kim,,f. sg. nom.,2,2,,0,2,2
11,11,2,deep_sky_back,3,1,udriktā,ut-rikta,,f. sg. nom.,7,7,{ pp. }[ut-ric,3,10,10
12,12,2,deep_sky_back,14,3,dhāvanti,dhāvat,,n. pl. acc.,7,8,{ ppr. [1 sence of lemma = 1,0,7,21
13,13,2,deep_sky_back,14,3,dhāvanti,dhāvat,,n. pl. nom.,7,8,{ ppr. [1 sence of lemma = 1,0,7,21
14,14,2,deep_sky_back,14,3,dhāvanti,dhāvat,,n. pl. acc.,7,8,{ ppr. [1 sence of lemma = 2,0,7,21
15,15,2,deep_sky_back,14,3,dhāvanti,dhāvat,,n. pl. nom.,7,8,{ ppr. [1 sence of lemma = 2,0,7,21
16,16,2,carmin_back,22,4,rāma,rā,,imp. [2] ac. pl. 1,4,4, sence of lemma = 1,0,4,26
17,17,2,deep_sky_back,26,4,lakṣmaṇā,lakṣman,,n. sg. i.,8,8,,4,12,34
18,18,2,mauve_back,36,4,mukham,mukha,,ind.,5,6,,14,19,41
19,19,2,yellow_back,42,5,āja,āja,,iic.,3,3,,0,3,45
20,20,2,carmin_back,45,5,gāma,gā,,inj. [1] ac. pl. 1,4,4, sence of lemma = 1,3,7,49
21,21,3,carmin_back,1,1,opa,ā-vap,,pft. ac. pl. 2,3,3, sence of lemma = 2,1,4,4
22,22,3,lawngreen_back,14,3,dhāvanti,dhāvat,,f. sg. voc.,7,8,{ ppr. [1 sence of lemma = 1,0,7,21
23,23,3,lawngreen_back,14,3,dhāvanti,dhāvat,,n. pl. voc.,7,8,{ ppr. [1 sence of lemma = 1,0,7,21
24,24,3,lawngreen_back,14,3,dhāvanti,dhāvat,,f. sg. voc.,7,8,{ ppr. [1 sence of lemma = 2,0,7,21
25,25,3,lawngreen_back,14,3,dhāvanti,dhāvat,,n. pl. voc.,7,8,{ ppr. [1 sence of lemma = 2,0,7,21
26,26,3,cyan_back,26,4,lakṣmaṇā,lakṣmaṇa,,f. sg. nom.,8,8,,4,12,34
27,27,3,cyan_back,26,4,lakṣmaṇā,lakṣman,,m. sg. i.,8,8,,4,12,34
28,28,3,carmin_back,42,5,āja,aj,,pft. ac. pl. 2,3,3,,0,3,45
29,29,3,carmin_back,42,5,āja,aj,,pft. ac. sg. 3,3,3,,0,3,45
30,30,3,carmin_back,42,5,āja,aj,,pft. ac. sg. 1,3,3,,0,3,45
31,31,3,cyan_back,45,5,gā,ga,,f. sg. nom.,2,2, sence of lemma = 1,3,5,47
32,32,3,cyan_back,45,5,gā,ga,,f. sg. nom.,2,2, sence of lemma = 2,3,5,47
33,33,4,carmin_back,1,1,ūpa,vap,,pft. ac. pl. 2,3,3, sence of lemma = 1,1,4,4
34,34,4,carmin_back,1,1,ūpa,vap,,pft. ac. pl. 2,3,3, sence of lemma = 2,1,4,4
35,35,4,deep_sky_back,33,4,abhimukham,abhimukha,,m. sg. acc.,8,10,,11,19,41
36,36,4,deep_sky_back,33,4,abhimukham,abhimukha,,n. sg. acc.,8,10,,11,19,41
37,37,4,deep_sky_back,33,4,abhimukham,abhimukha,,n. sg. nom.,8,10,,11,19,41
38,38,4,yellow_back,45,5,ga,ga,,iic.,2,2, sence of lemma = 1,3,5,47
39,39,4,yellow_back,45,5,ga,ga,,iic.,2,2, sence of lemma = 2,3,5,47
40,40,5,mauve_back,33,4,abhi,abhi,,prep.,3,4,,11,14,36
41,41,5,carmin_back,46,5,ama,am,,imp. [1] ac. sg. 2,3,3,,4,7,49
42,42,6,pink_back,33,4,abhi,abhi,,iic.,3,4,,11,14,36
43,43,6,carmin_back,46,5,āma,am,,pft. ac. pl. 2,3,3,,4,7,49
44,44,6,carmin_back,46,5,āma,am,,pft. ac. sg. 3,3,3,,4,7,49
45,45,6,carmin_back,46,5,āma,am,,pft. ac. sg. 1,3,3,,4,7,49
46,46,7,lawngreen_back,46,5,āma,āma,,m. sg. voc.,3,3,,4,7,49
47,47,7,lawngreen_back,46,5,āma,āma,,n. sg. voc.,3,3,,4,7,49
