,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,mauve_back,0,1,ha,ha,,part.,2,2,,0,2,2
1,1,1,lawngreen_back,2,1,rāma,rāma,,m. sg. voc.,4,4,,2,6,6
2,2,1,lawngreen_back,2,1,rāma,rāma,,n. sg. voc.,4,4,,2,6,6
3,3,1,light_blue_back,7,2,tava,yuṣmad,,m. sg. g.,4,4,,0,4,11
4,4,1,deep_sky_back,12,3,śaktyā,śakti,,f. sg. i.,6,6,,0,6,18
5,5,1,light_blue_back,19,4,aham,asmad,,m. sg. nom.,4,4,,0,4,23
6,6,1,mauve_back,24,5,nitarām,nitarām,,adv.,7,7,,0,7,31
7,7,1,deep_sky_back,32,6,santuṣṭaḥ,sam-tuṣṭa,,m. sg. nom.,9,9,{ pp. }[sam-tuṣ,0,9,41
8,8,2,lawngreen_back,0,1,he,he,,ind.,2,2,,0,2,2
9,9,2,lawngreen_back,3,1,āma,āma,,m. sg. voc.,3,3,,3,6,6
10,10,2,lawngreen_back,3,1,āma,āma,,n. sg. voc.,3,3,,3,6,6
11,11,2,yellow_back,24,5,nita,nita,,iic.,4,4,{ pp. }[nau_1,0,4,28
12,12,2,cyan_back,28,5,rām,rā,,m. pl. g.,3,3, sence of lemma = 2,4,7,31
13,13,2,cyan_back,28,5,rām,rā,,m. sg. acc.,3,3, sence of lemma = 2,4,7,31
14,14,2,cyan_back,28,5,rām,rā,,f. sg. acc.,3,3, sence of lemma = 2,4,7,31
15,15,3,yellow_back,1,1,irā,irā,,iic.,3,3,,1,4,4
16,16,4,yellow_back,1,1,īra,īra,,iic.,3,3,,1,4,4
17,17,5,deep_sky_back,1,1,irā,irā,,f. sg. nom.,3,3,,1,4,4
18,18,6,carmin_back,3,1,ama,am,,imp. [1] ac. sg. 2,3,3,,3,6,6
19,19,7,carmin_back,3,1,āma,am,,pft. ac. pl. 2,3,3,,3,6,6
20,20,7,carmin_back,3,1,āma,am,,pft. ac. sg. 3,3,3,,3,6,6
21,21,7,carmin_back,3,1,āma,am,,pft. ac. sg. 1,3,3,,3,6,6
