,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,deep_sky_back,0,1,haridrā,haridrā,,f. sg. nom.,7,7,,0,7,7
1,1,1,yellow_back,8,2,kuṅkuma,kuṅkuma,,iic.,7,7,,0,7,15
2,2,1,yellow_back,15,2,puṣpa,puṣpa,,iic.,5,5,,7,12,20
3,3,1,yellow_back,20,2,phala,phala,,iic.,4,5,,12,16,24
4,4,1,lawngreen_back,24,2,tāmbūla,tāmbūla,,m. sg. voc.,7,7,,16,23,31
5,5,1,lawngreen_back,24,2,tāmbūla,tāmbūla,,n. sg. voc.,7,7,,16,23,31
6,6,1,grey_back,32,3,kṣātyādibhiḥ,kṣātyādibhiḥ,,?,11,12,,0,11,43
7,7,1,yellow_back,44,4,sama,sama,,iic.,4,4,,0,4,48
8,8,1,yellow_back,48,4,ṛca,ṛca,,iic.,3,3,,4,7,51
9,9,1,deep_sky_back,51,4,yan,yat,,m. sg. nom.,3,3,{ ppr. [2 sence of lemma = 2,7,10,54
10,10,2,yellow_back,0,1,harit,harit,,iic.,5,5,,0,5,5
11,11,2,cyan_back,5,1,rā,rā,,m. sg. i.,2,2, sence of lemma = 2,5,7,7
12,12,2,cyan_back,5,1,rā,rā,,f. sg. nom.,2,2, sence of lemma = 2,5,7,7
13,13,2,yellow_back,44,4,samā,samā,,iic.,4,4,,0,4,48
14,14,2,lawngreen_back,51,4,yan,yat,,m. sg. voc.,3,3,{ ppr. [2 sence of lemma = 2,7,10,54
