,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,yellow_back,0,1,kavi,kavi,,iic.,4,4,,0,4,4
1,1,1,deep_sky_back,4,1,ājaḥ,āja,,m. sg. nom.,4,4,,4,8,8
2,2,1,deep_sky_back,9,2,anurāgaḥ,anurāga,,m. sg. nom.,8,8,,0,8,17
3,3,1,deep_sky_back,18,3,ādiḥ,ādi,,m. sg. nom.,4,4,,0,4,22
4,4,1,deep_sky_back,18,3,ādiḥ,ādi,,f. sg. nom.,4,4,,0,4,22
5,5,1,carmin_back,22,3,āsīt,ās,,inj. [5] ac. sg. 3,4,4, sence of lemma = 2,4,8,26
6,6,1,carmin_back,22,3,āsīt,ās,,aor. [5] ac. sg. 3,4,4, sence of lemma = 2,4,8,26
7,7,1,carmin_back,22,3,āsīt,as,,impft. [2] ac. sg. 3,4,4, sence of lemma = 1,4,8,26
8,8,2,deep_sky_back,0,1,kavī,kavi,,m. du. acc.,4,4,,0,4,4
9,9,2,deep_sky_back,0,1,kavī,kavi,,m. du. nom.,4,4,,0,4,4
10,10,2,carmin_back,4,1,ājaḥ,aj,,impft. [1] ac. sg. 2,4,4,,4,8,8
11,11,2,mauve_back,9,2,anu,anu,,prep.,3,3,,0,3,12
12,12,2,mauve_back,9,2,anu,anu,,adv.,3,3,,0,3,12
13,13,2,deep_sky_back,12,2,rāgaḥ,rāga,,m. sg. nom.,5,5,,3,8,17
14,14,2,yellow_back,18,3,ādi,ādi,,iic.,3,3,,0,3,21
15,15,2,yellow_back,18,3,ādi,ādin,,iic.,3,3,,0,3,21
16,16,2,cyan_back,21,3,rā,rā,,m. sg. i.,2,2, sence of lemma = 2,3,5,23
17,17,2,cyan_back,21,3,rā,rā,,f. sg. nom.,2,2, sence of lemma = 2,3,5,23
18,18,3,yellow_back,9,2,an,an,,iic.,2,2, sence of lemma = 1,0,2,11
19,19,3,yellow_back,11,2,ura,uras,,iic.,3,3,,2,5,14
20,20,4,deep_sky_back,13,2,agaḥ,aga,,m. sg. nom.,4,4,,4,8,17
21,21,5,deep_sky_back,13,2,āgaḥ,āgas,,n. sg. acc.,4,4,,4,8,17
22,22,5,deep_sky_back,13,2,āgaḥ,āgas,,n. sg. nom.,4,4,,4,8,17
23,23,6,lawngreen_back,13,2,āgaḥ,āgas,,n. sg. voc.,4,4,,4,8,17
24,24,7,lawngreen_back,13,2,āgaḥ,āgas,,m. sg. voc.,4,4,,4,8,17
25,25,7,lawngreen_back,13,2,āgaḥ,āgas,,f. sg. voc.,4,4,,4,8,17
