,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,mauve_back,0,1,atra,atra,,adv.,4,4, sence of lemma = 1,0,4,4
1,1,1,yellow_back,5,2,mahā,mahat,,iic.,4,4,,0,4,9
2,2,1,deep_sky_back,9,2,ṛṣīn,ṛṣi,,m. pl. acc.,4,4,,4,8,13
3,3,1,mauve_back,14,3,saṃrakṣitum,sam-rakṣ,,inf.,11,11,,0,11,25
4,4,1,light_blue_back,26,4,ke,kim,,n. du. acc.,2,2,,0,2,28
5,5,1,light_blue_back,26,4,ke,kim,,n. du. nom.,2,2,,0,2,28
6,6,1,light_blue_back,26,4,ke,kim,,m. pl. nom.,2,2,,0,2,28
7,7,1,light_blue_back,26,4,ke,kim,,f. du. acc.,2,2,,0,2,28
8,8,1,light_blue_back,26,4,ke,kim,,f. du. nom.,2,2,,0,2,28
9,9,1,deep_sky_back,28,4,balam,bala,,n. sg. acc.,5,5,,2,7,33
10,10,1,deep_sky_back,28,4,balam,bala,,n. sg. nom.,5,5,,2,7,33
11,11,1,deep_sky_back,28,4,balam,bala,,m. sg. acc.,5,5,,2,7,33
12,12,1,mauve_back,34,5,phaṭ,phaṭ,,ind.,3,4,,0,3,37
13,13,1,deep_sky_back,37,5,antau,anta,,m. du. acc.,4,5,,3,7,41
14,14,1,deep_sky_back,37,5,antau,anta,,m. du. nom.,4,5,,3,7,41
15,15,1,mauve_back,42,5,eva,eva,,prep.,3,3,,8,11,45
16,16,1,carmin_back,46,6,staḥ,as,,pr. [2] ac. du. 3,4,4, sence of lemma = 1,0,4,50
17,17,2,carmin_back,5,2,maha,mah,,imp. [1] ac. sg. 2,4,4,,0,4,9
