,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,deep_sky_back,0,1,daśarathaḥ,daśaratha,,m. sg. nom.,9,10,,0,9,9
1,1,1,lawngreen_back,10,2,śveta,śveta,,m. sg. voc.,5,5,,0,5,15
2,2,1,lawngreen_back,10,2,śveta,śveta,,n. sg. voc.,5,5,,0,5,15
3,3,1,deep_sky_back,16,3,kṣatrasya,kṣatra,,n. sg. g.,9,9,,0,9,25
4,4,1,mauve_back,26,4,adhastāt,adhastāt,,adv.,7,8,,0,7,33
5,5,1,mauve_back,26,4,adhastāt,adhastāt,,prep.,7,8,,0,7,33
6,6,1,yellow_back,34,5,nava,navan,,iic.,4,4,,0,4,38
7,7,1,yellow_back,34,5,nava,nava,,iic.,4,4, sence of lemma = 1,0,4,38
8,8,1,lawngreen_back,38,5,ratna,ratna,,n. sg. voc.,5,5,,4,9,43
9,9,1,yellow_back,44,6,kha,kha,,iic.,2,3,,0,2,46
10,10,1,yellow_back,46,6,cita,cita,,iic.,4,4,{ pp. }[ci,2,6,50
11,11,1,yellow_back,50,6,siṃha,siṃha,,iic.,5,5,,6,11,55
12,12,1,deep_sky_back,55,6,sane,sana,,m. sg. loc.,4,4, sence of lemma = 1,11,15,59
13,13,1,deep_sky_back,55,6,sane,sana,,m. sg. loc.,4,4, sence of lemma = 2,11,15,59
14,14,1,deep_sky_back,55,6,sane,sana,,n. du. acc.,4,4, sence of lemma = 2,11,15,59
15,15,1,deep_sky_back,55,6,sane,sana,,n. du. nom.,4,4, sence of lemma = 2,11,15,59
16,16,1,deep_sky_back,55,6,sane,sana,,n. sg. loc.,4,4, sence of lemma = 2,11,15,59
17,17,1,deep_sky_back,55,6,sane,sana,,f. du. acc.,4,4, sence of lemma = 2,11,15,59
18,18,1,deep_sky_back,55,6,sane,sana,,f. du. nom.,4,4, sence of lemma = 2,11,15,59
19,19,1,mauve_back,60,7,upadiśya,upa-diś,,abs.,8,8, sence of lemma = 1,0,8,68
20,20,1,yellow_back,69,8,rājaka,rājaka,,iic.,6,6,,0,6,75
21,21,1,cyan_back,77,8,āṇi,āṇi,,n. sg. acc.,3,3,,8,11,80
22,22,1,cyan_back,77,8,āṇi,āṇi,,n. sg. nom.,3,3,,8,11,80
23,23,1,carmin_back,81,9,sādhayati,sidh,,ca. pr. ac. sg. 3,8,9, sence of lemma = 1,0,8,89
