,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,yellow_back,0,1,mahā,mahat,,iic.,4,4,,0,4,4
1,1,1,deep_sky_back,11,2,bhuvi,bhū,,f. sg. loc.,4,5, sence of lemma = 2,0,4,15
2,2,1,deep_sky_back,16,3,svam,sva,,m. sg. acc.,4,4,,0,4,20
3,3,1,deep_sky_back,16,3,svam,sva,,n. sg. acc.,4,4,,0,4,20
4,4,1,deep_sky_back,16,3,svam,sva,,n. sg. nom.,4,4,,0,4,20
5,5,1,deep_sky_back,21,4,vīryam,vīrya,,n. sg. acc.,6,6,{ pfp. [1,0,6,27
6,6,1,deep_sky_back,21,4,vīryam,vīrya,,n. sg. nom.,6,6,{ pfp. [1,0,6,27
7,7,1,deep_sky_back,21,4,vīryam,vīrya,,m. sg. acc.,6,6,{ pfp. [1,0,6,27
8,8,1,carmin_back,27,4,avāsṛjat,ava-sṛj,,impft. [6] ac. sg. 3,8,8, sence of lemma = 1,6,14,35
9,9,2,carmin_back,0,1,maha,mah,,imp. [1] ac. sg. 2,4,4,,0,4,4
10,10,2,carmin_back,27,4,ava,av,,imp. [1] ac. sg. 2,3,3,,6,9,30
11,11,2,deep_sky_back,30,4,sṛjat,sṛjat,,n. sg. acc.,5,5,{ ppr. [6,9,14,35
12,12,2,deep_sky_back,30,4,sṛjat,sṛjat,,n. sg. nom.,5,5,{ ppr. [6,9,14,35
13,13,3,deep_sky_back,3,1,īśvaraḥ,īśvara,,m. sg. nom.,7,7,,3,10,10
14,14,3,carmin_back,29,4,asṛjat,sṛj,,impft. [6] ac. sg. 3,6,6, sence of lemma = 1,8,14,35
15,15,4,yellow_back,29,4,a,a,,iic.,1,1,,8,9,30
16,16,4,lawngreen_back,30,4,sṛjat,sṛjat,,n. sg. voc.,5,5,{ ppr. [6,9,14,35
