,old_id,binNumber,WCNedgeNumber,WCNedgeWord,WCN Confidence Score,level,position,word,lemma,pre_verb,morph,wordlenth,endposition,OriginalCSV
0,0,1,0,kintu,1,1,0,kintu,kintu,,adv.,5,5,shr_new_nbest/new_19/1166.csv
1,17,1,0,kintu,1,2,0,kim,kim,,n. sg. acc.,3,3,shr_new_nbest/new_19/1166.csv
2,18,1,0,kintu,1,2,0,kim,kim,,n. sg. nom.,3,3,shr_new_nbest/new_19/1166.csv
3,19,1,0,kintu,1,2,3,tu,tu,,conj.,2,5,shr_new_nbest/new_19/1166.csv
4,1,3,0,iyutkevalamicCAmi,0.9999998894595011651440450997,1,0,iyutkevalamicchāmi,iyutkevalamicchāmi,,?,18,17,shr_new_nbest/new_19/1166.csv
5,1,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,1,0,iyat,iyat,,iic.,4,4,shr_new_nbest/new_19/1168.csv
6,2,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,1,4,kevalam,kevala,,m. sg. acc.,7,11,shr_new_nbest/new_19/1168.csv
7,3,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,1,4,kevalam,kevala,,n. sg. acc.,7,11,shr_new_nbest/new_19/1168.csv
8,4,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,1,4,kevalam,kevala,,n. sg. nom.,7,11,shr_new_nbest/new_19/1168.csv
9,5,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,1,11,icchāmi,iṣ,,pr. [6] ac. sg. 1,7,17,shr_new_nbest/new_19/1168.csv
10,24,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,2,0,iyat,iyat,,n. sg. acc.,4,4,shr_new_nbest/new_19/1168.csv
11,25,3,1,iyatkevalamicCAmi,1.105404988348478720303925204E-7,2,0,iyat,iyat,,n. sg. nom.,4,4,shr_new_nbest/new_19/1168.csv
