,old_id,binNumber,WCNedgeNumber,WCNedgeWord,WCN Confidence Score,level,position,word,lemma,pre_verb,morph,wordlenth,endposition,OriginalCSV
0,0,1,0,vakzyAmi,1,1,0,vakṣyāmi,vac,,fut. ac. sg. 1,8,8,shr_new_nbest/new_2/871.csv
1,1,1,0,vakzyAmi,1,1,0,vakṣyāmi,vah,,fut. ac. sg. 1,8,8,shr_new_nbest/new_2/871.csv
2,2,2,1,kSfRu,6.664181E-31,1,0,kśṛṇu,kśṛṇu,,?,5,5,shr_new_nbest/new_2/876.csv
3,2,3,1,SfRu,0.9714285714285714285159180191,1,0,śṛṇu,śru,,imp. [5] ac. sg. 2,4,4,shr_new_nbest/new_2/871.csv
4,2,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,1,0,śṛṇu,śru,,imp. [5] ac. sg. 2,4,4,shr_new_nbest/new_2/872.csv
5,3,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,1,4,sāvadhānam,sāvadhāna,,m. sg. acc.,10,13,shr_new_nbest/new_2/872.csv
6,4,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,1,4,sāvadhānam,sāvadhāna,,n. sg. acc.,10,13,shr_new_nbest/new_2/872.csv
7,5,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,1,4,sāvadhānam,sāvadhāna,,n. sg. nom.,10,13,shr_new_nbest/new_2/872.csv
8,6,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,2,4,sāva,sāva,,iic.,4,8,shr_new_nbest/new_2/872.csv
9,7,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,2,8,dhānam,dhāna,,n. sg. acc.,6,13,shr_new_nbest/new_2/872.csv
10,8,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,2,8,dhānam,dhāna,,n. sg. nom.,6,13,shr_new_nbest/new_2/872.csv
11,9,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,3,4,sā,tad,,f. sg. nom.,2,6,shr_new_nbest/new_2/872.csv
12,10,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,3,6,vadha,vadha,,iic.,5,10,shr_new_nbest/new_2/872.csv
13,11,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,4,4,sa,sa,,iic.,2,6,shr_new_nbest/new_2/872.csv
14,12,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,4,6,vadhā,vadha,,f. sg. nom.,5,10,shr_new_nbest/new_2/872.csv
15,13,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,5,5,avadhānam,avadhāna,,n. sg. acc.,9,13,shr_new_nbest/new_2/872.csv
16,14,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,5,5,avadhānam,avadhāna,,n. sg. nom.,9,13,shr_new_nbest/new_2/872.csv
17,15,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,6,5,avadhānam,avadhāna,,ind.,9,13,shr_new_nbest/new_2/872.csv
18,16,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,7,5,ava,av,,imp. [1] ac. sg. 2,3,8,shr_new_nbest/new_2/872.csv
19,17,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,7,8,dhānam,dhāna,,m. sg. acc.,6,13,shr_new_nbest/new_2/872.csv
20,18,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,7,8,dhānam,dhānā,,m. sg. acc.,6,13,shr_new_nbest/new_2/872.csv
21,19,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,7,8,dhānam,dhānā,,n. sg. acc.,6,13,shr_new_nbest/new_2/872.csv
22,20,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,7,8,dhānam,dhānā,,n. sg. nom.,6,13,shr_new_nbest/new_2/872.csv
23,21,3,2,SfRusAvaDAnam,3.586424914285714285509345862E-25,8,5,āva,av,,pft. ac. pl. 2,3,8,shr_new_nbest/new_2/872.csv
