word;lemma;morphology
\u0101na;an;-153
ady\u0101m;ad;-21
\u015bo\u1e47\u0101;\u015bo\u1e47a;30
iti;iti;3
\u012bram;\u012bra;1
j\u0101hnav\u012b;j\u0101hnava;30
sampr\u0101pte;sam-pra-\u0101pta;35
eva;eva;1
pr\u0101ta\u1e25;pr\u0101tar;1
pr\u0101ptavanta\u1e25;pra-\u0101ptavat;59
pare;para;75
dyu\u1e25;dyu;29
te;tad;75
sam\u0101pya;sam-\u0101pya;51
sarve;sarva;55
\u0101di;\u0101di;31
sn\u0101n;sn\u0101t;29
kam;kim;69
madhya;madhya;1
\u0101hne;\u0101hna;55
t\u012brtv\u0101;t\u1e5d;-230
t\u0101n;tad;79
j\u0101grat\u0101\u1e25;j\u0101grat\u0101\u1e25;0
