word;lemma;morphology
vik\u1e5bt\u0101n;vi-k\u1e5bta;79
nan\u0101;nan\u0101;30
\u0101d\u012bni;\u0101di;41
puru\u1e63a;puru\u1e63a;3
iti;iti;2
iti;iti;2
\u0101\u00f1ca;\u0101-a\u00f1c;-32
t\u0101\u1e6dak\u0101;t\u0101\u1e6dak\u0101;30
vik\u1e5bt\u0101;vi-k\u1e5bta;30
v\u0101n;v\u0101t;49
\u015bap;\u015bap;2
kruddha\u1e25;kruddha;29
ca;ca;2
tata\u1e25;tatas;2
ca;ca;2
bhava;bh\u016b;-32
bhava;bh\u016b;-32
m\u0101r\u012bcam;m\u0101r\u012bca;69
agastya\u1e25;agasti;29
r\u0101k\u1e63aso;r\u0101k\u1e63aso;0
