word;lemma;morphology
madhy\u0101hne;madhy\u0101hna;169
sn\u0101na;sn\u0101na;3
\u0101di;\u0101di;31
kam;kim;69
iti;iti;3
\u012bram;\u012bra;1
j\u0101hnav\u012b;j\u0101hnava;30
sampr\u0101pte;sam-pra-\u0101pta;75
eva;eva;1
pr\u0101ta\u1e25;pr\u0101tar;1
sam\u0101pya;sam-\u0101pya;51
sarve;sarva;55
pr\u0101ptavanta\u1e25;pra-\u0101ptavat;59
pare;para;75
dyu\u1e25;dyu;29
te;tad;75
t\u012brtv\u0101;t\u1e5d;-230
t\u0101m;tad;70
j\u0101grat\u0101\u1e25;j\u0101grat\u0101\u1e25;0
k\u1e63o\u1e47\u0101nady\u0101m;k\u1e63o\u1e47\u0101nady\u0101m;0
