word;lemma;morphology
\u0101dikam;\u0101di;69
sn\u0101n;sn\u0101t;29
sarve;sarva;55
sampr\u0101pte;sam-pra-\u0101pta;75
pr\u0101ptavanta\u1e25;pra-\u0101ptavat;59
pare;para;75
dyu\u1e25;dyu;29
te;tad;75
\u012bram;\u012bra;1
\u012bt\u012b;\u012bti;75
j\u0101hnav\u012b;j\u0101hnava;30
sam\u0101pya;sam-\u0101pya;51
eva;eva;2
pr\u0101tar\u0101;pr\u0101tar;89
\u0101na;an;-151
ady\u0101m;ad;-21
\u015bo\u1e47\u0101;\u015bo\u1e47a;30
t\u0101m;tad;70
j\u0101grat\u0101\u1e25;j\u0101grat\u0101\u1e25;0
t\u012btv\u0101madhy\u0101hne;t\u012btv\u0101madhy\u0101hne;0
