word;lemma;morphology
sarve;sarva;35
api;api;1
samedhay\u0101ma;sam-edh;-47
\u0101su\u1e25;as;-159
k\u0101mayanta\u1e25;k\u0101mayat;59
\u0101dikam;\u0101di;69
\u0101yu\u1e25;\u0101-y\u0101;-49
rogy\u0101;rogya;30
r\u0101;r\u0101;30
a;a;3
ca;ca;1
\u0101\u015b\u012brbhi\u1e25;\u0101\u015bis;100
\u0101nam;an;-41
r\u0101ja;r\u0101jan;3
\u015bi\u015b\u016b;\u015bi\u015bu;74
\u016bn\u0101m;\u016bna;70
\u015bi\u015b\u016bn;\u015bi\u015bu;79
tacchv\u012bkart\u0101ra\u1e25;tacchv\u012bkart\u0101ra\u1e25;0
