word;lemma;morphology
madhy\u0101hne;madhy\u0101hna;169
sn\u0101na;sn\u0101na;3
\u0101di;\u0101di;31
kam;kim;69
eva;eva;2
pr\u0101tar\u0101;pr\u0101tar;89
iti;iti;2
\u012bram;\u012bra;1
j\u0101hnav\u012b;j\u0101hnava;30
sampr\u0101pte;sam-pra-\u0101pta;75
sarve;sarva;55
sam\u0101pya;sam-\u0101pya;51
pr\u0101ptavanta\u1e25;pra-\u0101ptavat;59
te;tad;35
pare;para;75
dyu\u1e25;dyu;29
\u0101na;an;-151
ady\u0101m;ad;-21
\u015bo\u1e47\u0101;\u015bo\u1e47a;30
t\u012brtv\u0101;t\u1e5d;-230
t\u0101m;tad;70
j\u0101grat\u0101\u1e25;j\u0101grat\u0101\u1e25;0
